#Table1
name,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
A1,1237667173469782752,15.4875338794043,0.46549742469516,5052,301,5,212,GALAXY,22.82955,22.17461,20.48419,19.81217,19.23741
A1,1237667173469782753,15.4881351202145,0.47691237197225,5052,301,5,212,GALAXY,23.52085,23.45493,21.17471,20.57743,20.26966
A1,1237667173469782754,15.488134994723,0.476912272101498,5052,301,5,212,GALAXY,23.271,23.44931,21.17682,20.59009,20.27465
A1,1237667173469782755,15.4896533358085,0.477912062522268,5052,301,5,212,GALAXY,25.30295,23.9152,23.56312,21.47061,21.531
A1,1237667173469782756,15.4881014481124,0.545073026089811,5052,301,5,212,STAR,25.11215,23.31106,21.41092,19.88702,19.03069
A1,1237667173469782759,15.49046033058,0.515053528129161,5052,301,5,212,GALAXY,24.9247,23.67127,21.90766,22.18518,21.12147
A1,1237667173469782761,15.4911836509898,0.472119175929935,5052,301,5,212,STAR,25.06661,23.1381,22.00874,21.15137,20.77223
A1,1237667173469782763,15.4934871138728,0.504767869248852,5052,301,5,212,GALAXY,25.63394,22.81465,21.93015,21.64419,22.17156
A1,1237667173469782765,15.498080752393,0.543194636983943,5052,301,5,212,STAR,22.79342,24.90589,22.36427,23.96734,22.90072
A1,1237667173469782766,15.4998209831349,0.54427097177308,5052,301,5,212,GALAXY,26.28455,23.25912,21.83228,21.43767,21.43063
A1,1237667173469782767,15.5002270275541,0.521491706639928,5052,301,5,212,GALAXY,23.23138,22.63208,21.161,20.4306,19.73719
A1,1237667173469782768,15.50047491581,0.524652946267358,5052,301,5,212,GALAXY,25.48343,23.92495,22.11373,21.39214,21.13523
A1,1237667173469782769,15.5028717024383,0.48009149416029,5052,301,5,212,GALAXY,23.37912,23.11819,22.18328,21.72049,22.99326
A1,1237667173469782772,15.5052736336597,0.543182018644091,5052,301,5,212,STAR,22.97753,24.85854,22.31749,24.80314,24.17239
A1,1237667173469782773,15.5064307556023,0.531368176456458,5052,301,5,212,GALAXY,24.38992,23.39862,21.89535,20.94198,20.2177
A1,1237667173469782774,15.5078608052547,0.456610041830992,5052,301,5,212,STAR,24.3848,25.17828,22.51185,23.15474,22.10563
A1,1237667173469782868,15.4651067259783,0.47935247167692,5052,301,5,212,GALAXY,23.68091,23.837,22.9969,21.15849,20.16623
A1,1237667173469782869,15.465285132107,0.49032244587351,5052,301,5,212,GALAXY,24.72493,22.64563,22.46841,20.91398,20.54379
A1,1237667173469782874,15.4756313934313,0.478100109162327,5052,301,5,212,GALAXY,23.89981,22.99696,22.94705,21.48847,22.00548
A1,1237667173469782879,15.4891120952125,0.507427796832887,5052,301,5,212,GALAXY,23.14268,23.19045,22.85637,21.60823,21.86565
A1,1237667173469782880,15.4896257197152,0.458421493627968,5052,301,5,212,STAR,24.4116,23.95497,22.53937,21.24183,20.43652
A1,1237667173469782882,15.4997902358878,0.482275379841389,5052,301,5,212,GALAXY,26.05754,22.98871,22.3918,21.37642,20.90311
A1,1237667173469782884,15.5004638960539,0.548566495389226,5052,301,5,212,GALAXY,25.2944,24.26837,22.78757,21.5235,20.3968
A1,1237667173469782887,15.5021334554952,0.49372788923901,5052,301,5,212,GALAXY,24.13844,23.06685,22.46287,21.2788,21.05573
A1,1237667173469782888,15.5055295385811,0.455842946114263,5052,301,5,212,GALAXY,23.59577,23.2351,23.38744,21.50749,21.98237
A1,1237667173469782889,15.5065489002296,0.478501808495136,5052,301,5,212,GALAXY,23.50381,24.19342,22.76171,21.39065,20.87436
A1,1237667173469782890,15.5188551364165,0.473962118090692,5052,301,5,212,GALAXY,23.59449,23.28121,22.5157,21.34026,20.47175
A1,1237667173469782778,15.5123579231106,0.457187957397406,5052,301,5,212,GALAXY,24.66888,23.72648,21.49701,20.95271,20.08931
A1,1237667173469782779,15.5126253340128,0.474365883589902,5052,301,5,212,STAR,24.6371,23.89615,22.49929,20.68782,19.60159
A1,1237667173469782780,15.5131356188246,0.519711523324499,5052,301,5,212,GALAXY,26.21786,24.59499,22.08217,21.4445,21.07647
A1,1237667173469782787,15.5174991200643,0.543324645191669,5052,301,5,212,STAR,23.62395,25.07343,22.37004,25.58497,23.07866
A1,1237667173469782788,15.5183661343687,0.526277339893572,5052,301,5,212,GALAXY,26.03177,23.12114,21.71127,21.34746,20.91917
A1,1237667173469782791,15.5203401129811,0.466806980147293,5052,301,5,212,STAR,25.21382,23.62601,22.05332,21.32035,20.79322
A1,1237667173469782046,15.4719744557509,0.471217226239083,5052,301,5,212,STAR,17.70168,15.69733,14.84431,14.50144,14.30002
A1,1237667173469782047,15.4719656288619,0.471227183938285,5052,301,5,212,STAR,17.71362,15.69736,14.84634,14.50272,14.30256
A1,1237667173469782591,15.5235716909373,0.535021390517157,5052,301,5,212,GALAXY,23.87467,23.04222,22.37913,22.14468,21.58396
A1,1237667173469782593,15.5244296099148,0.525393475846541,5052,301,5,212,GALAXY,23.17137,22.77274,21.43254,21.34681,21.31377
A1,1237667173469782594,15.5245639406725,0.537210320060336,5052,301,5,212,GALAXY,23.52177,21.9558,20.98435,20.74582,20.65065
A1,1237667173469782599,15.5273253830727,0.488626470864371,5052,301,5,212,STAR,25.37425,22.58707,21.30136,20.92572,20.49964
A1,1237667173469782600,15.5273253829435,0.488626470568379,5052,301,5,212,STAR,25.29342,22.84216,21.57435,21.18438,20.798
A1,1237667173469782601,15.5266615848964,0.489458690197175,5052,301,5,212,STAR,25.41342,24.78481,23.22192,21.69718,21.22861
A1,1237667173469782602,15.5275959154883,0.506999308975913,5052,301,5,212,GALAXY,22.70162,22.33509,22.77476,22.36743,22.3215
A1,1237667173469782603,15.5278700567565,0.479760387659452,5052,301,5,212,STAR,23.08192,21.01515,20.27592,19.99741,19.99159
A1,1237667173469782604,15.5278700567565,0.479760387659452,5052,301,5,212,STAR,22.36585,21.01515,20.27592,19.99741,19.99159
A1,1237667173469782606,15.5282718607539,0.517662036963059,5052,301,5,212,GALAXY,19.69502,20.0243,20.73313,20.48737,25.76932
A1,1237667173469782795,15.524825415341,0.457949463755878,5052,301,5,212,GALAXY,22.43656,21.52687,20.41941,20.13803,20.01721
A1,1237667173469782792,15.5213332972965,0.538292222774949,5052,301,5,212,GALAXY,23.34111,22.60975,21.36617,21.48892,21.38694
